Date,US.GOVT.B,US.GOVT.13,US.GOVT,US.AGG,GL.AGG.H,US.MBS,US.CORP,US.CORP.IND,US.CORP.FIN,US.CORP.UTIL,US.HY,EMD.USD,US.EQ,GL.EQ,AC.EQ,EM.EQ,HF.FOFD,HF.EVENT,HF.EQUITY,HF.RV,HF.MACRO,REIT,US.PE,GOLD,COMDTY
1993-12-31,108.03,214.7497,259.6964,591.78,145.8849,607.33,701.84,685.09,706.31,727.94,355.6,100,466.45,598.5,151.28,539.34,1841.5761,1942.4478,2489.2093,2009.7358,3218.8229,703.5707,6593.29,390.7,96.694
1994-01-31,108.36,216.0508,263.2652,599.77,146.9116,613.35,715.46,700.19,717.45,742.18,363.32,101.07,481.61,637.01,161.05,548.88,1861.0968,2010.6277,2547.7057,2059.5772,3286.74,724.6103,6892.4,381.9,100.274
1994-02-28,108.51,214.7842,257.789,589.35,144.1018,609.07,698.57,683.28,702.06,725.57,362.37,92.55,467.14,627.79,158.47,538.78,1809.5444,2000.7756,2537.5149,2068.6394,3076.3887,749.5574,6821.1,381.75,99.498
1994-03-31,108.79,213.686,251.8369,574.82,141.4078,593.21,677.13,662.01,684.38,701.18,348.68,80.05,445.77,599.74,151.07,489.21,1763.4011,1989.7714,2484.7346,2075.4659,2970.8685,719.3824,6455.17,391,99.717
1994-04-29,109.02,212.9072,249.9147,570.23,140.3953,588.84,670.61,655.27,678.67,694.2,346.29,78.62,450.91,617.3,154.9,478.36,1759.3452,1975.843,2475.5411,2066.7489,2935.2181,731.0486,6368.7,377.05,101.825
1994-05-31,109.35,213.2075,249.7093,570.15,139.6805,591.17,668.14,653.59,679.24,686.79,346.47,84.27,456.5,617.91,155.54,493.66,1763.2158,1994.4159,2485.6908,2063.8555,3001.2605,745.9134,6319.5,387.3,107.287
1994-06-30,109.78,213.7936,249.226,568.89,138.9449,589.89,666.5,652.55,679,682.96,347.54,79.28,444.27,615.19,154.5,479.18,1776.9689,2016.7534,2475.4995,2068.3959,3005.7624,729.7208,6145.74,386.3,110.326
1994-07-29,110.25,215.6484,253.5196,580.19,141.0551,601.7,683.33,670.32,692.27,703.13,350.49,80.96,458.26,625.89,157.66,508.73,1784.9652,2048.2147,2498.0265,2090.7346,3027.1033,727.8749,6205.48,383.6,111.826
1994-08-31,110.64,216.3598,253.6195,580.91,140.6251,603.6,684.1,670.56,694.29,702.34,352.97,87.56,475.49,643.74,163,571.3,1804.2429,2085.2874,2529.7514,2093.6617,3105.808,731.9062,6425.73,386.6,108.861
1994-09-30,111.01,215.8493,250.1105,572.36,139.4026,595.01,671.35,657.95,683.91,686.45,352.99,89.34,462.69,625.81,158.89,577.29,1814.7075,2093.8371,2563.1442,2087.7994,3102.081,717.0397,6510.81,394.25,109.025
1994-10-31,111.47,216.3476,249.8843,571.85,139.575,594.67,669.81,656.48,682.63,684.6,353.83,86.75,472.35,642.57,162.68,566.11,1821.4219,2085.4617,2573.3967,2090.5135,3098.6687,690.4379,6543.51,384.5,109.902
1994-11-30,111.82,215.4387,249.2834,570.58,140.15,592.81,668.71,656.27,677.6,685.93,349.37,87.13,453.69,613.68,155.33,536,1797.9255,2058.9764,2535.3105,2091.3497,3110.7535,668.0049,6282.29,381.4,109.66
1994-12-30,112.35,215.913,250.9685,574.52,140.6616,597.54,674.24,661.73,681.56,693.6,351.94,81.65,459.27,618.59,155.6,492.58,1784.2613,2058.9764,2554.0718,2090.0949,3080.2682,709.2383,6218.1,383.2,112.755
1995-01-31,112.99,218.8668,255.863,585.89,142.9162,610.33,688.54,676.64,694.59,709.87,356.71,77.91,470.42,608.26,152.15,439.84,1754.9994,2100.9795,2561.734,2116.8481,3053.4698,698.7126,6365.97,375.1,112.109
1995-02-28,113.61,221.7864,261.1888,599.82,145.6186,625.91,708.39,696.09,713.65,731.02,368.94,74.18,487.39,616.07,153.49,428.11,1755.7014,2127.6619,2604.7711,2139.9218,3097.7451,721.3926,6537.17,377.1,111.963
1995-03-31,114.2,223.0038,262.7299,603.5,147.1737,628.86,714.17,702.25,718.83,737.02,372.91,73,500.71,644.67,160.21,429.8,1774.1363,2142.3428,2659.2108,2153.4033,3141.1136,717.0865,6683.41,391.4,114.736
1995-04-28,114.8,224.9588,266.1035,611.93,149.3535,637.8,726.22,713.76,730.51,749,382.4,80.38,514.71,666.04,165.73,448.29,1797.7323,2187.5462,2729.414,2187.2117,3165.6143,718.7128,6869.23,387.1,117.028
1995-05-31,115.44,228.7787,276.9384,635.61,154.5587,657.91,760.45,747.87,759.41,787.64,393.12,87.66,533.4,670.63,167.24,470.95,1812.1142,2227.7971,2762.7128,2203.8345,3246.0209,751.0687,7022.64,384.3,116.228
1995-06-30,116.05,230.0089,279.0565,640.27,155.0049,661.65,767.3,755.39,765.63,795.27,395.62,88.61,544.75,669.32,166.97,471.38,1822.6244,2260.7685,2893.3891,2241.7405,3261.2772,764.3943,7461.27,384.6,115.079
1995-07-31,116.6,230.9576,278.0986,638.84,155.6669,662.79,763.91,752.32,764.27,789.78,400.62,88.64,562.06,701.69,174.74,481.28,1844.1314,2305.5317,3022.4343,2268.193,3389.4454,776.3364,7973.6,382.6,117.314
1995-08-31,117.17,232.2929,281.2097,646.55,157.3705,669.65,776.22,764.58,774.55,804.29,401.87,91.11,561.88,684.96,170.61,469.28,1882.4893,2354.8701,3110.9916,2298.5868,3578.9154,787.8896,8256.44,382.75,119.317
1995-09-29,117.7,233.3469,283.7398,652.84,159.1316,675.54,785.42,774.01,782.71,813.47,406.81,94.32,584.41,703.8,175,466.41,1883.8071,2398.4352,3201.2104,2330.767,3694.1564,802.3072,8560.53,384,120.453
